Ad Set Name,Ad Name,Impressions,Clicks,Amount Spent (USD),Link Clicks,Purchases
Winter Sale 2023,Cozy Sweater - Video Ad,55000,2200,800,2150,150
Winter Sale 2023,Frosty Mornings - Image Ad,40000,800,500,750,20
Winter Sale 2023,Generic Winter Banner,25000,250,300,240,5
Brand Launch Q4,Our Story - Founder Video,80000,1600,1200,1500,15
Brand Launch Q4,Meet The Brand - Carousel,65000,3250,1000,3200,65
Brand Launch Q4,Logo Reveal - Short Animation,30000,450,400,440,2
Influencer Collab - Jane Doe,Jane's Top Picks - Video,150000,9000,2500,8800,400
Influencer Collab - Jane Doe,Jane's Favorites - Carousel,120000,4800,1800,4700,160
Summer Flash Sale,Last Chance 70% Off - Urgent Video,95000,7600,1500,7500,550
Summer Flash Sale,Sunny Days Discount - Image,60000,1800,1100,1750,80
